Index,user,date,review,movie,polarity,sentiment
16,sudheeshthulaseedharan,7 February 2021,"politics human skin color, cast sexuality harder harder execute this. In nutshell, Mari Selvaraj's Pariyerum Perumal.Through story Perumal, born lower caste went study law college Tirunelveli      desire reach great heights education. film shows us caste system brutally interferes daily life.When forgets living dalit, film depicts still living caste system convinced many occasions dalit.The film puts forward life truth not responsible murder beloved dog Karuppi, bullying classmate's wedding house ridicule got college, but cannot escape it, even though realizes real problem caste.Kathir put show extra ordinary acting best ability. In words, many scenes cannot express anger but see them, seems Kathir's career best performance.There another important character. A character kills easily sake caste. done someone over age    but character really terrified.Santosh Narayanan's BGM good.This uncompromising quality movie never ending proof Tamil film world still moving different direction realistic cinema.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.1715909090909090,positive
17,chaitumhyd,30 December 2018,"Caste religion against humanity.This disclaimer movie shows begins.India immense levels caste religious politics, honor killing, lower GDP lower castes. All   points part story. Hope new upcoming generations give importance show kindness towards people animals next rather idea dividing supernatural power.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.060606060606060600,negative
18,ud,13 August 2020,"seen many movies caste differences but makes movie Special It's plot, story perfectly balanced Relationship Jo --Pariyerum Caste discrimination faces Jo's family. These type movies shows us mirror truth caste factor still prevalent   st century India. Hope affects perfectly minds people still considers Caste matter pride. Kathir best Performance till date. Anandhi looks sweet innocent, Very beautiful though. Mari selvaraj done brilliant work direction.Last word- Must watch Performance Movie message.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.7341269841269840,positive
19,appuhariharann,27 October 2018,loved movie core it's nice see music scored Sana lyrics matched movie. And wonderful screen play story telling went well credit goes whole team director getting kind movies Tamil industry     found helpful. Was review helpful? Sign vote. Permalink,Pariyerum Perumal,0.62,positive
20,maruthuk,25 November 2018,"Movie carried good message, screenplay direction movie also good, but movie definitely not watchable young kids, scenes violent. Acting hero heroine also good.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.20000000000000000,positive
21,sarathda,5 August 2020,"Seamlessly structured around Santhosh Narayanan's greatest ever collection songs -- every song transformative, every lyric accompanying dance  as Engum Pugazh Thuvanga, whose affective power within film's context possibly surpasses even immediate classics like Karuppi Naan Yaar  suggesting opening film protagonist newer, deeper emotional dimensions, kaleidoscopic textures soundscapes around drama arises unfolds land, born much tenderness idealism, innocence navigating college, friendship, love brutality caste. initially appear threads elements tangential film's central thrust -- old man carries caste honor killings eerie precision, Jo's doe eyed naiveté way even terrifying, Yogi Babu's comic relief rendered quiet generosity -- have, time film settles upon marvelous final exchange shot, emerged integral film blues, Kathir's performance astonishing vulnerability physicality, soul Karuppi.so much say celebrate here, but now, power Mari Selvaraj, Pa. Ranjith team continue create contemporary cinema palpable urgency cannot said often enough, Santhosh Narayanan national treasure.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.13174603174603200,positive
22,vinothdharma,19 October 2018,"Director Mari Selvaraj makes debut hard-hitting film caste discrimination.This movie teach us spread humanity need eradicate castism. Cinematography awesome work may get national ward. Screen play masterpiece, Dialogues related inequality point. sure slap people.my heart still feels heavy watching movie!😣     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.325,positive
23,boobooc,12 November 2018,Arjun reddy theeran adhigaaran ondru south indian movie preferred till date friends.This one awesome too.Must watch.     found helpful. Was review helpful? Sign vote. Permalink,Pariyerum Perumal,1.0,positive
24,Fellashibby,26 November 2021,"If Atticus Finch greatest movie hero, Chandru underrated real life hero.This movie sobering reminder injustice lack accountability plagues beloved India.The poor dwellings mountainous forests reflected state deep racial problems social injustice still exists beloved India.The guy  Suriya  played Chandru gave amazing performance.This first film Surya n become huge fan him.Also first film lead actress Lijo Mol Jose gave intense performance character Sengkani make even toughest skin feel sad.This movie brutal scenes police brutality. More horrific horror films frightening u know movie based true events.The real life judgment Rajakannu vs State Tamil Nadu & Ors, Parvathi's statement torture husband suffered, reality seems far worse art.       found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.1154166666666670,positive
25,Xstal,14 November 2021,"extraordinary story leave aghast injustice corruption endemic constabulary India, least state Tamil Nadu events take place. Based true events relating prejudice persecution, activities still permeate societies today, film best watched Tamil subtitles language not one own.       found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.23055555555555600,positive
26,arungeorge,2 November 2021,"It's always nice see star like Suriya move away typical masala flick Diwali come hard-hitting courtroom drama based actual events. In film, tool helps enact justice oppressed victims. There's no showy entry, songs praise skies, stock heroines exist admire him. Instead, film focuses tribal characters played Manikandan Lijomol  both excellent  series unfortunate events go through.Police brutality sensitive topic, touched upon films filmmakers, even keep hearing several cases news. Films like Visaranai Karnan paved way TJ Gnanavel's Jai Bhim tell harrowing social issue without need preachy. Jai Bhim's first hour somewhat disturbing watch, cries oppressed tugging heartstrings coming across slightly amplified. There's no subtlety play. punches wholly felt, screams heard loud clear. If still don't, Sean Roldan's woeful score drive point home.But film gets infinitely better final hour. While finale isn't exactly unpredictable, journey getting riveting. Both Suriya Prakash Raj deliver goods gracefully - not once, getting faces loud monologues. At length  h   m, Jai Bhim works due performances topical relevance. Glad mainstream audience gets see OTT.         found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.08901515151515160,negative
27,santhosh,2 November 2021,Excellent Movie. Everybody acted well movie. Songs BGM movie excellent. movie interesting thrilling. Best Tamil Movie     . Excellent Movie.         found helpful. Was review helpful? Sign vote. Permalink,Jai Bhim,0.7916666666666670,positive
28,ketgup,7 November 2021,"Jai Bhim turned hard-hitting, raw powerful court-room drama. purpose cinema not entertain but also educate empower audience. courtroom drama based movies always engaging prosecutor defendant fight solve case solid evidences innumerable witnesses.Bollywood Films like ""Damini"", ""Jolly LLB"",""Talvar"" ""Rustom"", ""Pink"" even ""Section    "" immensely successful keeping audience engaged impeccable dialogues fantastic screenplay but makes Jai Bhim different beautiful message morality equality tribal woman fights justice husband.Jai Bhim based      Habeas Corpus petition human right activist cum lawyer K. Chandru   played Suriya  , takes case Irular tribe couple  Rajakannu Sengeni  husband wrongly convicted local police stealing ornaments village head's house.As Jai Bhim opens, see cops segregating prisoners based caste. Among caste, tribal people becomes easy target cops clear pending cases influence political head. also see Rajakannu, main accused jewelry case, forcibly taken away family. film goes back flashback mode life tribal couple beautiful serene village hone skills catching rat bosses. As life progresses, one event Rajakannu brothers caught crime not commit. They go extreme level police harassment torture hard digest completely raw. Enter Chandra a.k.a Suriya takes case Sengeni narrates entire incident request help find husband per police, absconding jail.Jai Bhim one hair-raising film definitely difficult digest gives goosebumps eye-popping experience. Screenplay hero nail-biting moments. Art direction fine Cinematography excellent. Suriya knight shining armor. Watch second half questions witnesses courtroom. unforgettable performance lauded sheer brilliance. Among actors - Manikandan Lijomol Jose mind-blowing natural performances. Prakash Raj well IG.Jai Bhim experience needs lauded impeccable direction, electrifying performances beautiful message. Excellent  / .        found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.24750024750024700,positive
29,saru,31 December 2021,"A good one Surya long time.More Surya, heroine factor good guy entire story revolves acted phenomenally well.It good see real-life struggles people good screenplay pinch commercials stuffed it, tickle.     found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.4642857142857140,positive
30,akshatmahajan,7 November 2021,"movie much needed movie raises questions police, custody murders casteism. Nowadays, South India Cinema giving us much better movies bollywood.Story good, pacing execution also good but could little bit better, acting also good  nothing looked fake forced . Not adding songs movie best choice, could ruined movie. movie different bollywood's legal case stories masala, songs overacting.Overall, recommend everyone. You give try.         found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.27019230769230800,positive
31,msunando,8 January 2022,"You would imagine security forces law two sides coin always work hand hand. Not true! Jai Bhim narrative real life incident real people fearless lawyer fights basic human rights underprivileged against police force, dealing fire fire backdrop adversity.When heavily Sengenni's  Lijo Mol Jose  husband Rajakanna two relatives, underprivileged socially deprived tribe Tamil Nadu go missing police custody without trace, runs pillar post urge authorities help search them. With no financial economic resources, helpless Sengenni finally finds kindness Chandru  Suriya , fearless lawyer firmly believes police machinery given much latitude turned maleficent force against poor. After studying details incidents originally led arrest three men subsequent events described Sengenni, Chandru certain policemen concealing facts behind disappearance. He agrees take case files habeas corpus petition Chennai High Court against police department, seeking assistance government trace missing prisoners whose crime hasn't proven.Jai Bhim intense investigation courtroom drama unfolds macabre events diabolical consequences. Faced against Attorney General fighting protecting policemen, Chandru faces uphill task unearth facts eventually unmask ugly truth. film directed T. J. Gnanavel showcases naked chasm educated civilised society marginalised scheduled castes tribes, glaring instance inequality exists without realisation. One hardest hitting films times, Jai Bhim undoubtedly one calibre arthouse films   's directed Shyam Benegal, Govind Nihalani, M S Sathyu Adoor Gopalakrishnan, promoted India's entry Oscars. Suriya mighty impressive upright human rights lawyer fighting case outwardly dispassionately, but seething inside. Lijo Mol Joseph resounding reminder Smita Patil's intense performances, showcasing angst pathos heart-rending manner. Rajisha Vijayan, Prakash Raj Rao Ramesh offer great support. Yet laud performance Tamizh evil S. I. Gurumoorthy, perpetrator excessive torture hapless trio, rouse awareness goes pice lock ups far reaching power machinery go protect real criminals.Don't miss Jai Bhim - offers wide range emotional turmoil makes gripping watch, standing one best films recent times.     found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.03936265969802560,negative
32,sriramthestranger,7 November 2021,"movie predictable many scenes but still performance Surya music keeps us engaged throughout. characters portrayed highly one-dimensional except Prakash Raj. That major flaw movie unlike Visaranai, Vetrimaran's characters story much much better one. Good watch neverthless!        found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.31625,positive
33,mramanan,5 November 2021,"RATED   /  Language  TamilSource  Amazon PrimeRECOMMENDEDTribal life rights cleverly delivered...at point forgot watching movie seeing pain real. cast locations real...The court room drama flashbacks well balanced end credits makes awe...Kudos Jo Surya producing movie... At point movie could become documentary, but director brilliantly maintained mainstream movie entertainment throughout story telling.... Another big advantage never feel preaching/advising tone not biased.It delivers pain feeling movie ""Visaranai""....Must watch.         found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.2533333333333330,positive
34,ramisaakter,26 December 2021,"far best Indian movie me. What shocking is, based true story. didn't know but loved more. Acting point, script, artists amazing. So beautifully presented. can't praise enough.     found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.31,positive
35,nidhunmoviebuff,2 November 2021,"Despite over   hours    minutes long, 'Jai Bhim' engaging, thoroughly entertaining watch backed astonishing real life story custodial violence, police cover-ups systemic corruption.Suriya plays crusading lawyer, hell bent revealing truth behind three Irular  Scheduled Tribe  men go missing police custody.The superstar turns impeccable performance fastidiously chips away truth, discover layer upon layer lies, caste hatred cruelty.Despite big name star disposal, director T. J. Gnanavel deserves praise letting story take driver's seat, never reducing unnecessary 'massy' sequences masala elements drive narrative forward.Lijimol Jose wife Rajakannu  played Manikandan  absolute force nature role, delivering best sequences film, turning performance veteran would proud of.Prakash Raj usual excels supporting role Rajisha Vijayan precious little screen time make sizeable impact.The music Seal Roldan played significant role, helping audience feel pain beleaguered protagonists beginning vindication righteousness towards climax.Jai Bhim not rise emotional highs previous classic dramas based custodial violence like Visaranai        Naandhi        but immensely engrossing watch. Recommended!        found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.20597826086956500,positive
36,rahul,3 November 2021,"In scene Jai Bhim, group tribals man meet police office heading inquiry commission disappearance three missing tribals interrogated police theft case. One man tells arrested cops greeting them. Another tells arrested tried slink away fearing them. A woman narrates husband forced 'confess' crime not committed cops started molesting her. A young boy mentions police picked could not get father, one incident made perennial suspect school. These people clearly damned did, damned didn't.This scene echo scene opens film. see many prisoners let prison. A cops surrounding police stations waiting. As prisoner comes out, asked caste. If mention dominant caste's name, asked leave. But belong scheduled caste scheduled tribe, told stand corner, waiting cops pick suspects many cases remain unsolved station. When complain foist cases on, told could accuses committing one crime.With scenes like these, Jai Bhim powerfully captures abuse humiliation heaped upon underprivileged power kind defiance take get justice. Like Visaaranai recent Kavalthurai Ungal Nanban, film also fierce criticism police brutality. plot revolves around Rajakannu  Manikandan  Sengani  Lijomol Jose , couple live Konamalai near Viluppuram. They belong Irular tribe, despite poverty - still cannot afford brick house - contented happy. Especially daughter Alli going school second child way.But happiness dashed cops come search Rajakannu over robbery. poor man become main suspect happened one visited house robbery happened day catch snake. Unable find him, police pick pregnant Sengani men tribe, including Rajakannu's brother Irutappan. Sengani later let go - not beaten kicked multiple times - but Rajakannu couple others, no respite harrowing violence unleashed upon men khakhi. When Sengani hears three men escaped whereabouts unknown, reached Chandru  Suriya , righteous lawyer fights downtrodden. But uncover truth entire system standing against them?Jai Bhim unexpected sophomore effort TJ Gnanavel, previously directed uneven drama Kootathil Oruvan. film raw, real brutal, gritty filmmaking enhancing solid writing. effectively portrays wrongs done underprivileged without seeming exploitative overly melodramatic. Despite one oldest communities country, tribes not even proof show citizens cannot even piece land. When Mythra  Rajisha Vijayan , teacher part adult literacy programme, tries get voter id, local big shot, belongs dominant caste, retorts, ""Isn't enough request lower castes vote us? Should also go homes fellows?""Gnanavel gives us terrific moments defiance. Lijomol Jose quietly powerful Sengani, gets couple rousing scenes turns efforts compromise cops. Manikandan, too, effective stands scene urges men not give result community branded criminals. director also portrays intimacy Sengani Rajakannu charming manner.The film based real-life incident involving Justice K Chandru, days lawyer. Suriya plays role right amount intensity earnestness, helps character seem grounded even film Sean Roldan's score try build can-do-no-wrong superhero. In fact, introduction scene wouldn't place masala movie. But Soorarai Pottru, another notable film star performer.And scenes Prakash Raj, plays inquiry commission head, Perumalsamy, give us calm composed dialogue act counterpoint flinching violence moving melodrama. latter lends role great deal dignity character believes one take little bit authoritarianism protect democracy. So, lawyer considers police worst cop finds lawyers worst working together ensure justice done. Through scenes, Gnanavel - one judges film mentions - shows justice upheld law order work hand hand.There couple missteps. After point, violence begins feel like torture porn, even though film presents episodes flashbacks events happened over day two. And narrative sense, Chandru's efforts unravel mystery battle court feels somewhat easier no strong antagonists. Both Rao Ramesh advocate general Guru Somasundaram public prosecutor never come across formidable foes Chandru court. That said, Chandru unravels one cover-up another, film makes us realise extent unchecked power go maintain status quo.But doesn't lessen emotional impact film, which, along films like Visaaranai, Kirumi Kavalthurai Ungal Nanban, much-needed antidote restore balance portrayals police industry overrun Singams Saamys.         found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.04574954366621030,negative
37,samabc,17 November 2021,"There    tribes TamilNadu. Most tribes depend agriculture, forests cultivation livelihood. story   belong one tribe work upper caste rat infestation control catching snakes homes. oppressor oppressed... habeas corpus case... court drama ... movie succeed portraying heinous gruesome picture atrocities systematic violence committed police, upper caste, justice system government against tribes. A bitter reality... last   years In last five years, total     caste-related murders reported Tamil Nadu victims Dalits. At least two Dalits assaulted every hour   st-century India, every day, three Dalit women raped, two Dalits murdered two Dalit homes torched average. Over     million Dalits, comprise nearly   % India's population, face threat violence daily  Ref  Wire The apotheosis protagonist unnecessary jail sequences however takes away focus underlying tribal issue .. but not fail deliver strong message demands one introspect.. thought provoking, based true story .. Surya brings perception story telling 'unfortunately truism' .. great watch ..       found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.024166666666666700,negative
38,magadalwarmayur,2 November 2021,I'm not native tamil speaker but seen film trailer intrigued me.This film call raw hitting. hits hurts cast great job casting director better job finding cast.The direction film grounded never feels like cliche acting cast member.The cinematography Film simple gives indie film vibe .As Indian definitely watch film haven't seen important film decade.         found helpful. Was review helpful? Sign vote. Permalink,Jai Bhim,0.18365384615384600,positive
39,TreeFiddy,2 November 2021,"Turns out, movie based real-life incident     .In times policeman mostly glorified Indian cinema, wasn't expecting movie police brutality, something that's usually swept rugs, makes important film Tamil film industry thanks streaming services, Indian Cinema.The storytelling great job making care enough Rajakannu Sengani  both brilliantly played, Lijomol show stealer movie  empathize throughout movie. Parts movie brutal hard watch, don't surprised find shouting ""Okay that's enough! STOP!"" events unfold. Suriya Prakash Raj play respective roles enough intensity, nothing over top one. Acting support cast well done.As much film police brutality, also casteism, still prevalent great country. Movies, good bad ones, past topic made, but tell script trying hard highlight caste system. one, thought, right didn't overdo it.If HAVE to, find things wrong movie - cinematic liberty, ""comedic"" elements, ""mass moments"", necessary IMO. That said, isn't kind movie find flaws in, but kind watch, learn grown person. So, I'd request simply appreciate filmmaking, empathize characters learn thing two takeaways real life.        found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.1375793650793650,positive
40,isaacsundaralingam,4 November 2021,"don't understand movie gets love does. feels like diluted ""Visaranai"", nothing new say audience. story progresses snail's pace it's oh predictable cliche. Yes, get it, it's based true story, but matters cinema not story is, but presented.Jai Bhim isn't account bad movie. think it's decent one. But like literally every legal drama movie ever made Tamil cinema, falls victim overestimating appeal. Do really need exaggerated slow-mo's, over dramatic profiles intrusively annoying musical numbers effectively told story?The worst part movie characters. They lack enormous amount depth. still wonder character M S Baskhar even existed movie, not annoy us literally every word says, effectively bogging movie him. Don't get wrong, love guy think he's amazing actor, but poorly written overall movie. And true Suriya well. character nothing set apart might expect exaggerated ""goody"" lawyer.The movie    -something minutes long. That painstakingly long time sit movie little substance. If cut everything thought would make commercial movie, stuck meat it, could made amazing   -    minute experience high spirits emotions. But no, drag long did.I don't hate movie, not feeling like wasted one extra hour attention deserved have. It's least decent one, but nothing close amount praise gets. But hey, I'm minority here, knows...        found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,-0.04232800982800980,negative
41,madanmarwah,17 November 2021,"movie disturbing traumatic watch dealing extended scenes police brutality jail premises. plot tribal wrongfully arrested stealing jewellery police use third degree force confess. narrative gripping first shows police version alternates scenes actually happened.Director TJ Gnanvel deserves credit making riveting movie based taut screenplay focusing oppression faced marginalised tribals. There raw realism see catching rats food struggling make existence dignity. Their way life sad happy moments shown well. felt director inspired work Shyam Benegal Prakash Jha.Limo Mol Jose played role suffering wife done superb job. No less impressive actor K Manikandan harassed victim. Suriya plays brave lawyer- crusader takes entire police department order deliver justice pregnant wife tribal. Veteran Prakash Raj impressive IG, police. acting high class.The courtroom scenes shot skillfully absorbing. clear self respect , dignity human rights tribal community trial against powerful police bureaucratic state machinery. movie excellent cinematography editing.Despite scenes excessive police brutality  custodial third degree , movie ""must see list"" due overall excellence.      found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.22083540115798200,positive
42,hxzr,4 November 2021,"one best movies watched recent years.. based true facts.Casting, Story, Acting, Direction every small thing made masterstroke here.Surya leading actor lawyer Lijo Mol Jose Sengoni made remarkable splending performance.Bollywood learn type movies.. make remake lowest performance high budget !!!Once again, sad checking true facts movie brought front remarkable drama. Hats-off actors.         found helpful. Was review helpful? Sign vote. Permalink",Jai Bhim,0.27625,positive
